Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6580	0.243769	7021	0.057399	710	0.345070	5689	0.245913	0.214621	1788	0.241611	0.249061	1751	0.256425	0.000020	1402	0.208274	0.000019	1639	0.262965	58.547839	5689	0.245913	0.182550	0.218577	
6547	0.259814	7048	0.071793	679	0.332842	5726	0.250611	0.214621	1662	0.271360	0.249061	1761	0.249290	0.000020	1436	0.225627	0.000019	1688	0.288507	58.547839	5726	0.250611	0.193400	0.218558	
6689	0.256690	6955	0.071891	711	0.379747	5645	0.247830	0.214621	1745	0.277937	0.249061	1719	0.275742	0.000020	1541	0.206360	0.000019	1684	0.261283	58.547839	5645	0.247830	0.194300	0.218540	
6824	0.285023	6911	0.066561	713	0.354839	5552	0.241174	0.214621	1676	0.260740	0.249061	1801	0.316491	0.000018	1574	0.235070	0.000019	1773	0.320361	58.547839	5552	0.241174	0.199850	0.218525	
6930	0.264502	6804	0.063933	739	0.309878	5527	0.250588	0.214621	1819	0.271578	0.249061	1690	0.274556	0.000014	1681	0.252826	0.000019	1740	0.258621	58.547839	5527	0.250588	0.194100	0.218507	
7008	0.323059	6830	0.068228	688	0.363372	5474	0.244976	0.214621	1756	0.277904	0.249061	1730	0.294798	0.000010	1755	0.400000	0.000019	1767	0.319185	58.547839	5474	0.244976	0.216050	0.218505	
6829	0.301215	6946	0.062626	746	0.341823	5479	0.256069	0.214621	1734	0.234717	0.249061	1706	0.288980	0.000006	1746	0.423253	0.000019	1643	0.254413	58.547839	5479	0.256069	0.207500	0.218497	
6825	0.318388	7015	0.063721	663	0.380090	5497	0.245407	0.214621	1733	0.260819	0.249061	1655	0.306344	0.000010	1742	0.401263	0.000019	1695	0.303835	58.547839	5497	0.245407	0.211050	0.218491	
6593	0.250114	7023	0.064930	643	0.346812	5741	0.245428	0.214621	1694	0.267414	0.249061	1718	0.264261	0.000016	1512	0.228175	0.000019	1669	0.237867	58.547839	5741	0.245428	0.186850	0.218467	
6766	0.308306	7033	0.064695	658	0.317629	5543	0.260509	0.214621	1743	0.248422	0.249061	1611	0.295469	0.000007	1649	0.434809	0.000019	1763	0.260919	58.547839	5543	0.260509	0.209700	0.218461	
