Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6409	0.220783	7131	0.063946	720	0.350000	5740	0.311672	0.233422	1866	0.243301	0.274326	1813	0.250414	0.000392	992	0.025202	0.000025	1738	0.277330	36.803011	5740	0.311672	0.195600	0.222752	
6290	0.236725	7188	0.062604	706	0.339943	5816	0.302957	0.233422	1773	0.252115	0.274326	1810	0.275691	0.000276	953	0.034627	0.000019	1754	0.290764	36.803011	5816	0.302957	0.197050	0.222732	
6349	0.245865	7191	0.066194	714	0.322129	5746	0.333101	0.233422	1716	0.240676	0.274326	1771	0.276115	0.000176	1028	0.030156	0.000016	1834	0.342421	36.803011	5746	0.333101	0.209050	0.222721	
6504	0.207103	7040	0.059517	694	0.374640	5762	0.341895	0.233422	1771	0.242801	0.274326	1854	0.250809	0.000106	1149	0.064404	0.000027	1730	0.218497	36.803011	5762	0.341895	0.199800	0.222704	
6349	0.222555	7100	0.062958	708	0.365819	5843	0.354099	0.233422	1822	0.241493	0.274326	1740	0.270115	0.000070	1054	0.076850	0.000023	1733	0.243508	36.803011	5843	0.354099	0.209400	0.222693	
6488	0.274815	7100	0.059296	717	0.362622	5695	0.339069	0.233422	1801	0.248751	0.274326	1793	0.266592	0.000066	1123	0.093500	0.000014	1771	0.424619	36.803011	5695	0.339069	0.219750	0.222691	
6375	0.213647	7148	0.062255	679	0.315169	5798	0.357020	0.233422	1775	0.229859	0.274326	1792	0.246652	0.000044	1220	0.122131	0.000027	1588	0.228589	36.803011	5798	0.357020	0.204550	0.222677	
6504	0.253383	7140	0.057563	694	0.347262	5662	0.309255	0.233422	1769	0.270209	0.274326	1735	0.269741	0.000041	1311	0.151793	0.000023	1689	0.297809	36.803011	5662	0.309255	0.202550	0.222661	
6708	0.275343	6955	0.064270	694	0.312680	5643	0.336523	0.233422	1790	0.272626	0.274326	1753	0.276098	0.000023	1394	0.200143	0.000017	1771	0.336533	36.803011	5643	0.336523	0.220500	0.222660	
6369	0.225781	7240	0.061050	719	0.368567	5672	0.341502	0.233422	1872	0.243590	0.274326	1764	0.251134	0.000296	914	0.022976	0.000019	1819	0.284772	36.803011	5672	0.341502	0.204100	0.222645	
